,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
281,  33LG20060321,  SR01,15.0,1.0,282.0,20.0,2.0,20060326.0,1700.0,-59.978,-63.312, 3865,      5.0,   3.3000,  33.7220,2.0,  33.7240,2.0,    329.2,2.0,    11.49,2.0,    18.17,2.0,     0.25,2.0,     1.42,2.0,   2125.2,2.0,    347.8,2.0,      3.3,   -999.0,9.0,   -999.0,     1.79,2.0,   3.2997
282,  33LG20060321,  SR01,15.0,1.0,283.0,21.0,2.0,20060326.0,1700.0,-59.978,-63.312, 3865,      5.8,   3.3000,  33.7220,2.0,  33.7250,2.0,    329.0,2.0,    12.00,2.0,    18.53,2.0,     0.26,2.0,     1.50,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.2996
283,  33LG20060321,  SR01,16.0,1.0,284.0,1.0,2.0,20060326.0,1934.0,-60.325,-63.17, 3853,   1013.1,   1.8400,  34.7260,2.0,  34.7250,2.0,    190.6,2.0,    90.92,2.0,    27.94,2.0,     0.02,2.0,     2.12,2.0,   2252.7,2.0,    528.1,2.0,     1.84,   -999.0,9.0,   -999.0,     0.42,2.0,   1.7800
284,  33LG20060321,  SR01,16.0,1.0,285.0,2.0,2.0,20060326.0,1939.0,-60.325,-63.17, 3853,    808.7,   1.9900,  34.7070,2.0,  34.7030,2.0,    185.4,2.0,    70.08,2.0,    28.58,2.0,     0.02,2.0,     2.23,2.0,   2255.7,2.0,    548.9,2.0,     1.99,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.9425
285,  33LG20060321,  SR01,16.0,1.0,286.0,3.0,2.0,20060326.0,1942.0,-60.325,-63.17, 3853,    708.3,   2.0700,  34.6880,2.0,  34.6860,2.0,    182.3,2.0,    70.84,2.0,    28.25,2.0,     0.02,2.0,     2.16,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.0286
286,  33LG20060321,  SR01,16.0,1.0,287.0,4.0,2.0,20060326.0,1944.0,-60.325,-63.17, 3853,    605.8,   2.1100,  34.6670,2.0,  34.6650,2.0,    180.2,2.0,    66.31,2.0,    28.72,2.0,     0.02,2.0,     2.21,2.0,   2255.0,2.0,    570.9,2.0,     2.11,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.0749
287,  33LG20060321,  SR01,16.0,1.0,288.0,5.0,2.0,20060326.0,1947.0,-60.325,-63.17, 3853,    504.2,   2.1700,  34.6370,2.0,  34.6360,2.0,    176.7,2.0,    65.38,2.0,    29.43,2.0,     0.02,2.0,     2.10,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1410
288,  33LG20060321,  SR01,16.0,1.0,289.0,6.0,2.0,20060326.0,1950.0,-60.325,-63.17, 3853,    404.6,   2.2000,  34.5880,2.0,  34.5950,2.0,    177.7,2.0,    63.57,2.0,    29.96,2.0,     0.02,2.0,     2.35,2.0,   2254.2,2.0,    596.3,2.0,      2.2,   -999.0,9.0,   -999.0,     0.40,2.0,   2.1770
289,  33LG20060321,  SR01,16.0,1.0,290.0,7.0,2.0,20060326.0,1952.0,-60.325,-63.17, 3853,    304.7,   2.2100,  34.5350,2.0,  34.5330,2.0,    180.1,2.0,    60.09,2.0,    30.49,2.0,     0.24,2.0,     2.38,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1929
290,  33LG20060321,  SR01,16.0,1.0,291.0,8.0,2.0,20060326.0,1954.0,-60.325,-63.17, 3853,    251.9,   2.1700,  34.4900,2.0,  34.4830,2.0,    185.7,2.0,    55.04,2.0,    30.48,2.0,     0.02,2.0,     2.26,2.0,   2247.4,2.0,    609.4,2.0,     2.17,   -999.0,9.0,   -999.0,     0.45,2.0,   2.1561
