,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
74,  06AQ20071128,   A12,319.0,1.0,22.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.2,  -0.1710,  34.6500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -0.4090
75,  06AQ20071128,   A12,319.0,1.0,21.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.3,  -0.1710,  34.6500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -0.4090
76,  06AQ20071128,   A12,319.0,1.0,20.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.2,  -0.1710,  34.6500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -0.4090
77,  06AQ20071128,   A12,319.0,1.0,19.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3655.2,  -0.1710,  34.6500,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -0.4090
78,  06AQ20071128,   A12,319.0,1.0,18.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   3499.9,  -0.1670,  34.6510,2.0,    237.0,2.0,    33.90,2.0,   -999.0,9.0,   2354.0,2.0,  -0.3910
79,  06AQ20071128,   A12,319.0,1.0,17.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   2999.8,  -0.1490,  34.6530,2.0,    234.2,2.0,    33.80,2.0,   -999.0,9.0,   2353.3,2.0,  -0.3290
80,  06AQ20071128,   A12,319.0,1.0,16.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   2499.0,  -0.0850,  34.6560,2.0,    230.3,2.0,    33.80,2.0,   -999.0,9.0,   2358.9,2.0,  -0.2260
81,  06AQ20071128,   A12,319.0,1.0,15.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   2000.1,   0.0410,  34.6630,2.0,    222.7,2.0,    34.10,2.0,   -999.0,9.0,   2358.1,2.0,  -0.0650
82,  06AQ20071128,   A12,319.0,1.0,14.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,   1500.4,   0.2060,  34.6690,2.0,    215.9,2.0,  -999.00,9.0,   -999.0,9.0,   2360.3,2.0,   0.1310
83,  06AQ20071128,   A12,319.0,1.0,13.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    999.6,   0.4290,  34.6780,2.0,    209.6,2.0,    34.20,2.0,   -999.0,9.0,   2361.2,2.0,   0.3810
84,  06AQ20071128,   A12,319.0,1.0,12.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    500.4,   0.8230,  34.6930,2.0,    200.4,2.0,    34.10,2.0,   -999.0,9.0,   2357.4,2.0,   0.8000
85,  06AQ20071128,   A12,319.0,1.0,11.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    350.3,   0.9310,  34.6920,2.0,    198.0,2.0,    34.10,2.0,   -999.0,9.0,   2353.2,2.0,   0.9150
86,  06AQ20071128,   A12,319.0,1.0,10.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    250.3,   0.9070,  34.6790,2.0,    198.8,2.0,    34.00,2.0,   2257.4,2.0,   2353.4,2.0,   0.8960
87,  06AQ20071128,   A12,319.0,1.0,9.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    200.3,   0.9320,  34.6730,2.0,    197.0,2.0,    34.30,2.0,   2256.1,2.0,   2352.9,2.0,   0.9230
88,  06AQ20071128,   A12,319.0,1.0,8.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    160.4,   0.6600,  34.6430,2.0,    206.4,2.0,    33.80,2.0,   2254.0,2.0,   2348.9,2.0,   0.6530
89,  06AQ20071128,   A12,319.0,1.0,7.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,    119.8,   0.1360,  34.5950,2.0,    227.2,2.0,  -999.00,9.0,   2247.6,2.0,   2344.9,2.0,   0.1320
90,  06AQ20071128,   A12,319.0,1.0,6.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,     99.8,  -0.7110,  34.5220,2.0,    250.1,2.0,    33.40,2.0,   2239.3,2.0,   2342.5,2.0,  -0.7140
91,  06AQ20071128,   A12,319.0,1.0,5.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,     80.3,  -1.6710,  34.4310,2.0,    280.3,2.0,    32.70,2.0,   2229.9,2.0,   -999.0,9.0,  -1.6730
92,  06AQ20071128,   A12,319.0,1.0,4.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,     60.3,  -1.7830,  34.3460,2.0,    282.9,2.0,    31.70,2.0,   2221.2,2.0,   2330.5,2.0,  -1.7840
93,  06AQ20071128,   A12,319.0,1.0,3.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,     40.0,  -1.8060,  34.3140,2.0,    284.7,2.0,    31.60,2.0,   2218.0,2.0,   2326.9,2.0,  -1.8070
94,  06AQ20071128,   A12,319.0,1.0,2.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,     19.4,  -1.7540,  34.2360,2.0,    286.2,2.0,    31.30,2.0,   2213.1,2.0,   2322.3,2.0,  -1.7540
95,  06AQ20071128,   A12,319.0,1.0,1.0,2.0,-999.0,0.0,-69.078,-3.011, 3845,      9.0,  -1.6620,  34.1220,2.0,    287.7,2.0,    31.10,2.0,   2202.9,2.0,   2313.2,2.0,  -1.6620
96,  06AQ20071128,   A12,320.0,1.0,24.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,   1000.2,   0.4810,  34.6840,2.0,    203.1,2.0,    33.00,2.0,   -999.0,9.0,   2361.7,2.0,   0.4330
97,  06AQ20071128,   A12,320.0,1.0,23.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    500.6,   0.7170,  34.6880,2.0,    201.7,2.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.6940
98,  06AQ20071128,   A12,320.0,1.0,22.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    500.7,   0.7170,  34.6880,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.6940
99,  06AQ20071128,   A12,320.0,1.0,21.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    350.2,   0.7930,  34.6830,2.0,    204.6,2.0,    33.00,2.0,   -999.0,9.0,   -999.0,9.0,   0.7770
100,  06AQ20071128,   A12,320.0,1.0,20.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    249.9,   0.9110,  34.6820,2.0,    199.1,2.0,    32.50,2.0,   -999.0,9.0,   -999.0,9.0,   0.9000
101,  06AQ20071128,   A12,320.0,1.0,19.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    249.9,   0.9120,  34.6830,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.9010
102,  06AQ20071128,   A12,320.0,1.0,18.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    200.1,   0.8590,  34.6710,2.0,    201.0,2.0,    33.30,2.0,   -999.0,9.0,   -999.0,9.0,   0.8500
103,  06AQ20071128,   A12,320.0,1.0,17.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    200.1,   0.8530,  34.6710,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.8440
104,  06AQ20071128,   A12,320.0,1.0,16.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    159.9,   0.8120,  34.6610,2.0,    201.2,2.0,    33.00,2.0,   -999.0,9.0,   -999.0,9.0,   0.8050
105,  06AQ20071128,   A12,320.0,1.0,15.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    159.9,   0.7750,  34.6580,2.0,    201.2,2.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.7680
106,  06AQ20071128,   A12,320.0,1.0,14.0,2.0,-999.0,0.0,-68.486,-2.905, 4270,    120.2,   0.4850,  34.6270,2.0,    210.4,2.0,    33.30,2.0,   -999.0,9.0,   -999.0,9.0,   0.4800
