,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
49,  29HE20130320,3.0,1.0,3.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    709.8,   3.2558,  34.2171,2.0,    233.4,2.0,    234.0,2.0,    34.15,2.0,    31.07,2.0,     2.08,2.0,   2293.2,2.0,7.6123,2.0,    25.00,   3.2081
50,  29HE20130320,3.0,1.0,4.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    710.2,   3.2566,  34.2169,2.0,    233.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2293.2,2.0,-999.0,9.0,  -999.00,   3.2089
51,  29HE20130320,3.0,1.0,5.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    606.6,   3.4917,  34.1754,2.0,    248.9,2.0,    251.7,2.0,    26.91,2.0,    29.63,2.0,     1.97,2.0,   2289.1,2.0,7.6352,2.0,    25.00,   3.4504
52,  29HE20130320,3.0,1.0,6.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    606.9,   3.4938,  34.1752,2.0,    249.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2289.0,2.0,-999.0,9.0,  -999.00,   3.4524
53,  29HE20130320,3.0,1.0,7.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    505.7,   3.5439,  34.1204,2.0,    269.7,2.0,    270.1,2.0,    20.18,2.0,    27.89,2.0,     1.85,2.0,   2282.9,2.0,7.6597,2.0,    25.00,   3.5097
54,  29HE20130320,3.0,1.0,8.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    505.0,   3.5479,  34.1207,2.0,    269.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2282.9,2.0,-999.0,9.0,  -999.00,   3.5137
55,  29HE20130320,3.0,1.0,9.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    404.8,   3.8977,  34.1090,2.0,    281.8,2.0,    282.4,2.0,    15.54,2.0,    26.41,2.0,     1.74,2.0,   2282.4,2.0,7.6822,2.0,    25.00,   3.8695
56,  29HE20130320,3.0,1.0,10.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    405.7,   3.8980,  34.1089,2.0,    281.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2282.4,2.0,-999.0,9.0,  -999.00,   3.8697
57,  29HE20130320,3.0,1.0,11.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    306.4,   4.1892,  34.1077,2.0,    290.1,2.0,    289.7,2.0,    12.44,2.0,    25.26,2.0,     1.65,2.0,   2279.6,2.0,7.6986,2.0,    25.00,   4.1674
58,  29HE20130320,3.0,1.0,12.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    306.6,   4.1865,  34.1075,2.0,    289.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2279.6,2.0,-999.0,9.0,  -999.00,   4.1647
59,  29HE20130320,3.0,1.0,13.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    201.9,   4.5289,  34.1112,2.0,    294.3,2.0,    294.6,2.0,     9.65,2.0,    24.03,2.0,     1.54,2.0,   2274.8,2.0,7.7109,2.0,    25.00,   4.5141
60,  29HE20130320,3.0,1.0,14.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    201.9,   4.5340,  34.1107,2.0,    294.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2274.9,2.0,-999.0,9.0,  -999.00,   4.5192
61,  29HE20130320,3.0,1.0,15.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    153.7,   4.6515,  34.0983,2.0,    295.0,2.0,    294.7,2.0,     8.52,2.0,    23.77,2.0,     1.51,2.0,   2275.3,2.0,7.7129,2.0,    25.00,   4.6402
62,  29HE20130320,3.0,1.0,16.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    155.3,   4.6503,  34.0992,2.0,    294.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2275.3,2.0,-999.0,9.0,  -999.00,   4.6389
63,  29HE20130320,3.0,1.0,17.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    101.2,   5.2565,  34.0699,2.0,    295.4,2.0,    294.5,2.0,     5.29,2.0,    22.62,2.0,     1.47,2.0,   2274.4,2.0,7.7308,2.0,    25.00,   5.2486
64,  29HE20130320,3.0,1.0,18.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,    101.8,   5.2270,  34.0692,2.0,    294.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2274.4,2.0,-999.0,9.0,  -999.00,   5.2191
65,  29HE20130320,3.0,1.0,19.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,     49.9,   7.9013,  34.0008,2.0,    296.8,2.0,    296.7,2.0,     0.87,2.0,    15.89,2.0,     0.92,2.0,   2273.3,2.0,7.8253,2.0,    25.00,   7.8964
66,  29HE20130320,3.0,1.0,20.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,     50.1,   7.9009,  34.0009,2.0,    296.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2273.3,2.0,-999.0,9.0,  -999.00,   7.8960
