EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,DEG C
58JH19990615, 75N, 465, 1, 3, 2, 19990618, 0, 68.5460, 13.6853, 1961,     47.9,   6.0040,  34.0634, 2,  34.0700, 3,   -999.0, 9,     3.95, 2,     8.62, 2,     0.10, 2,     0.61, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.0000
58JH19990615, 75N, 465, 1, 2, 2, 19990618, 0, 68.5460, 13.6853, 1961,     74.9,   6.3200,  34.2862, 2,  34.2720, 3,   -999.0, 9,     4.14, 2,     9.25, 2,     0.09, 2,     0.62, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.3135
58JH19990615, 75N, 465, 1, 1, 2, 19990618, 0, 68.5460, 13.6853, 1961,     99.0,   6.5270,  34.4552, 2,  34.4430, 3,   -999.0, 9,     4.18, 2,     9.43, 2,     0.10, 2,     0.65, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.5182
58JH19990615, 75N, 466, 1, 8, 2, 19990618, 0, 68.5817, 13.5922, 1961,      2.9,   8.8550, -999.0000, 9,  33.8560, 3,   -999.0, 9,     2.05, 2,     0.27, 2,     0.00, 2,     0.16, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 466, 1, 7, 2, 19990618, 0, 68.5817, 13.5922, 1961,      8.9,   8.8280,  33.8857, 2,  33.8540, 3,   -999.0, 9,     2.08, 2,     0.36, 2,     0.01, 2,     0.17, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.8271
58JH19990615, 75N, 466, 1, 6, 2, 19990618, 0, 68.5817, 13.5922, 1961,     21.2,   7.5950,  33.8962, 2,  33.9380, 3,   -999.0, 9,     2.43, 2,     1.85, 2,     0.03, 2,     0.25, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   7.5930
58JH19990615, 75N, 466, 1, 5, 2, 19990618, 0, 68.5817, 13.5922, 1961,     28.9,   6.5740,  34.0497, 2,  34.0120, 3,   -999.0, 9,     3.35, 2,     6.23, 2,     0.09, 2,     0.50, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.5715
58JH19990615, 75N, 466, 1, 4, 2, 19990618, 0, 68.5817, 13.5922, 1961,     49.5,   6.3780,  34.3415, 2,  34.3440, 3,   -999.0, 9,     4.32, 2,     9.52, 2,     0.08, 2,     0.65, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.3737
58JH19990615, 75N, 466, 1, 3, 2, 19990618, 0, 68.5817, 13.5922, 1961,     74.0,   6.5830,  34.4752, 2,  34.5010, 3,   -999.0, 9,     4.39, 2,     9.86, 2,     0.06, 2,     0.67, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.5764
58JH19990615, 75N, 466, 1, 2, 2, 19990618, 0, 68.5817, 13.5922, 1961,     97.8,   6.7670,  34.6900, 2,  34.6840, 3,   -999.0, 9,     4.45, 2,    10.23, 2,     0.06, 2,     0.70, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.7581
58JH19990615, 75N, 466, 1, 1, 2, 19990618, 0, 68.5817, 13.5922, 1961,    128.6,   6.8660,  34.8348, 2,  34.8100, 3,   -999.0, 9,     4.54, 2,    10.55, 2,     0.06, 2,     0.71, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.8542
58JH19990615, 75N, 467, 1, 8, 2, 19990618, 0, 68.6160, 13.4850, 2487,      4.5,   8.5680, -999.0000, 9,  33.8180, 3,   -999.0, 9,     2.11, 2,     0.39, 2,     0.01, 2,     0.16, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
