BOTTLE,20120208PRINUNIVRMK
# 2/6/2012 Initialized README file  
# Data source:  2/6/2012 (via R.Ballerby and S.van Heuven) 
# SHIP: Polarstern 
# Cruise: ANT-XXIV_2 
# Region: 3 meridional secitons at 3W,0,3E; eastern Weddell Sea; A12 partial; Capetown to Capetown 
# EXPOCODE: 06AQ20071128 
# DATES: 11/28/2007 - 2/4/2008 
# Chief Scientist: Ulrich Bathmann (AWI) 
# 77 stations with 24 place Rosette 
# Hydro: Who - V. Strass; Status -  final 
# 	Notes: 	Bottle numbers fabricated 
# 	Temperature back-calculated from theta 
# 	No bottle salinity 
# Nuts: Who - R. Bellerby; Status - final 
# 	Notes: nitrate only. Data very noisy 
# O2: Who - R. Bellerby; Status - final 
# 	Notes: no CTDOXY in file 
# TCO2: Who - R. Bellerby; Status - final 
# 	Notes: See Hauck et al., 2009 
# TA: Who - R. Bellerby; Status - final 
# 	Notes:  
# CFC: Who - ; Status -  no data in file 
# 	Notes:  includes CFC-113 and CCl-4 
# POC/ChloroA: Who -  ; Status - no data yet  
# 	Notes:  
# References: 
# Hauck, J., M. Hoppema, R.G.J. Bellerby, C. Völker and D. Wolf-Gladrow, 2010. Data-based estimation of anthropogenic carbon and acidification in the Weddell Sea on a decadal time scale. Journal of Geophysical Research 115: C03004, doi:10.1029/2009JC005479. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  06AQ20071128,   A12,   318,  1,      9,2,    -999,   0,-69.5370,  -2.8890, 3286,     80.5,  -1.8310,  34.3890,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.8330
  06AQ20071128,   A12,   318,  1,      8,2,    -999,   0,-69.5370,  -2.8890, 3286,     60.4,  -1.8180,  34.3810,2,    302.7,2,    31.60,2,   -999.0,9,   -999.0,9,  -1.8190
  06AQ20071128,   A12,   318,  1,      7,2,    -999,   0,-69.5370,  -2.8890, 3286,     60.5,  -1.8190,  34.3820,2,   -999.0,9,  -999.00,9,   2221.9,2,   2330.7,2,  -1.8200
  06AQ20071128,   A12,   318,  1,      6,2,    -999,   0,-69.5370,  -2.8890, 3286,     39.9,  -1.7880,  34.3620,2,    304.5,2,    31.60,2,   -999.0,9,   -999.0,9,  -1.7890
  06AQ20071128,   A12,   318,  1,      5,2,    -999,   0,-69.5370,  -2.8890, 3286,     40.0,  -1.7870,  34.3610,2,   -999.0,9,  -999.00,9,   2218.1,2,   2328.7,2,  -1.7880
  06AQ20071128,   A12,   318,  1,      4,2,    -999,   0,-69.5370,  -2.8890, 3286,     20.6,  -1.7340,  34.2940,2,    307.9,2,    31.40,2,   2213.8,2,   2326.0,2,  -1.7340
  06AQ20071128,   A12,   318,  1,      3,2,    -999,   0,-69.5370,  -2.8890, 3286,     20.6,  -1.7310,  34.2840,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.7310
  06AQ20071128,   A12,   318,  1,      2,2,    -999,   0,-69.5370,  -2.8890, 3286,     10.4,  -1.7380,  34.2690,2,    314.2,2,    30.90,2,   2209.5,2,   2323.3,2,  -1.7380
  06AQ20071128,   A12,   318,  1,      1,2,    -999,   0,-69.5370,  -2.8890, 3286,     10.4,  -1.7430,  34.2500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.7430
  06AQ20071128,   A12,   319,  1,     24,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.2,  -0.1710,  34.6500,2,    237.7,2,    31.00,2,   -999.0,9,   2353.5,2,  -0.4090
  06AQ20071128,   A12,   319,  1,     23,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.3,  -0.1710,  34.6500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.4090
  06AQ20071128,   A12,   319,  1,     22,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.2,  -0.1710,  34.6500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.4090
  06AQ20071128,   A12,   319,  1,     21,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.3,  -0.1710,  34.6500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.4090
  06AQ20071128,   A12,   319,  1,     20,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.2,  -0.1710,  34.6500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.4090
  06AQ20071128,   A12,   319,  1,     19,2,    -999,   0,-69.0780,  -3.0110, 3845,   3655.2,  -0.1710,  34.6500,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,  -0.4090
  06AQ20071128,   A12,   319,  1,     18,2,    -999,   0,-69.0780,  -3.0110, 3845,   3499.9,  -0.1670,  34.6510,2,    237.0,2,    33.90,2,   -999.0,9,   2354.0,2,  -0.3910
  06AQ20071128,   A12,   319,  1,     17,2,    -999,   0,-69.0780,  -3.0110, 3845,   2999.8,  -0.1490,  34.6530,2,    234.2,2,    33.80,2,   -999.0,9,   2353.3,2,  -0.3290
  06AQ20071128,   A12,   319,  1,     16,2,    -999,   0,-69.0780,  -3.0110, 3845,   2499.0,  -0.0850,  34.6560,2,    230.3,2,    33.80,2,   -999.0,9,   2358.9,2,  -0.2260
  06AQ20071128,   A12,   319,  1,     15,2,    -999,   0,-69.0780,  -3.0110, 3845,   2000.1,   0.0410,  34.6630,2,    222.7,2,    34.10,2,   -999.0,9,   2358.1,2,  -0.0650
  06AQ20071128,   A12,   319,  1,     14,2,    -999,   0,-69.0780,  -3.0110, 3845,   1500.4,   0.2060,  34.6690,2,    215.9,2,  -999.00,9,   -999.0,9,   2360.3,2,   0.1310
  06AQ20071128,   A12,   319,  1,     13,2,    -999,   0,-69.0780,  -3.0110, 3845,    999.6,   0.4290,  34.6780,2,    209.6,2,    34.20,2,   -999.0,9,   2361.2,2,   0.3810
  06AQ20071128,   A12,   319,  1,     12,2,    -999,   0,-69.0780,  -3.0110, 3845,    500.4,   0.8230,  34.6930,2,    200.4,2,    34.10,2,   -999.0,9,   2357.4,2,   0.8000
  06AQ20071128,   A12,   319,  1,     11,2,    -999,   0,-69.0780,  -3.0110, 3845,    350.3,   0.9310,  34.6920,2,    198.0,2,    34.10,2,   -999.0,9,   2353.2,2,   0.9150
  06AQ20071128,   A12,   319,  1,     10,2,    -999,   0,-69.0780,  -3.0110, 3845,    250.3,   0.9070,  34.6790,2,    198.8,2,    34.00,2,   2257.4,2,   2353.4,2,   0.8960
  06AQ20071128,   A12,   319,  1,      9,2,    -999,   0,-69.0780,  -3.0110, 3845,    200.3,   0.9320,  34.6730,2,    197.0,2,    34.30,2,   2256.1,2,   2352.9,2,   0.9230
