BOTTLE,20161130CCHSIORJL
#Change EXPOCODE from 49MR99K05_2 to 49NZ199909_2
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change THETA units from ITS-90 to DEG C
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_2_sum.txt Fri Mar 16 17:26:12 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_2_sea.txt Mon Jul 02 17:33:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,DEG C,KG/M^3
   49NZ199909_2,   P1H,     7,  2,      7,      7,2,19991001,1549, 42.2942, 146.0555, 4144,   1250.0,2,   2.4516,2,  34.4645,1,  34.4701,2,  -999.00,9,    39.94,2,   145.20,3,    43.52,2,     0.00,2,     3.05,3,   2378.9,3,   2353.9,3,   -215.4,2,      2.9,   2.3697,  27.5172
   49NZ199909_2,   P1H,     7,  2,      6,      6,2,19991001,1549, 42.2942, 146.0555, 4144,   1499.7,2,   2.2284,2,  34.5264,1,  34.5301,2,  -999.00,9,    51.55,2,   149.36,3,    43.01,2,     0.00,2,     3.00,3,   2386.2,3,   2373.9,3,   -219.5,2,      2.5,   2.1296,  27.5849
   49NZ199909_2,   P1H,     7,  2,      5,      5,2,19991001,1549, 42.2942, 146.0555, 4144,   1749.7,2,   2.0477,2,  34.5691,1,  34.5741,2,  -999.00,9,    66.75,2,   150.97,3,    42.24,2,     0.00,2,     2.91,3,   2397.8,3,   2370.0,3,   -235.6,2,      2.4,   1.9313,  27.6359
   49NZ199909_2,   P1H,     7,  2,      4,      4,2,19991001,1549, 42.2942, 146.0555, 4144,   1999.4,2,   1.8940,2,  34.5980,1,  34.6005,2,  -999.00,9,    80.62,2,   152.06,3,    41.46,2,     0.00,2,     2.86,3,   2398.6,3,   2363.2,3,   -228.7,2,      2.3,   1.7593,  27.6703
   49NZ199909_2,   P1H,     7,  2,      3,      3,2,19991001,1549, 42.2942, 146.0555, 4144,   3000.1,2,   1.5304,2,  34.6621,1,  34.6647,2,  -999.00,9,   130.41,2,   146.16,3,    38.23,2,     0.00,2,     2.60,3,   2404.5,3,   2335.6,3,   -225.9,2,      2.3,   1.3129,  27.7545
   49NZ199909_2,   P1H,     7,  2,      2,      2,2,19991001,1549, 42.2942, 146.0555, 4144,   3999.6,2,   1.4180,2,  34.6855,1,  34.6863,2,  -999.00,9,   156.17,2,   140.46,3,    36.43,2,     0.00,2,     2.46,3,   2402.0,3,   2320.0,3,   -207.7,2,      2.3,   1.1014,  27.7865
   49NZ199909_2,   P1H,     7,  2,      1,      1,2,19991001,1549, 42.2942, 146.0555, 4144,   4100.3,2,   1.4201,2,  34.6864,1,  34.6861,2,  -999.00,9,   156.74,2,   140.98,3,    36.38,2,     0.00,2,     2.46,3,   2404.5,3,   2318.0,3,   -207.0,2,      2.6,   1.0924,  27.7869
   49NZ199909_2,   P1H,     6,  1,      0,      0,9,19991001,1859, 42.4863, 145.8403, 3165,   -999.0,9,-999.0000,9,-999.0000,9,  32.9219,2,  -999.00,9,  -999.00,5,     2.46,2,     0.04,2,     0.06,2,     0.15,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,-999.0000,-999.0000
   49NZ199909_2,   P1H,     6,  1,     12,     12,2,19991001,1859, 42.4863, 145.8403, 3165,     49.7,2,   5.4560,2,  33.2680,1,  33.3426,3,  -999.00,9,   280.52,2,    21.23,3,    16.01,3,     0.21,3,     1.37,3,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   5.4521,  26.3095
   49NZ199909_2,   P1H,     6,  1,     11,     11,2,19991001,1859, 42.4863, 145.8403, 3165,    100.0,2,   2.1444,2,  33.2099,1,  33.2086,3,  -999.00,9,   295.75,2,    40.30,2,    24.42,2,     0.06,2,     1.93,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   2.1393,  26.5260
   49NZ199909_2,   P1H,     6,  1,     10,     10,2,19991001,1859, 42.4863, 145.8403, 3165,    200.6,2,   2.3438,2,  33.4743,1,  33.4903,3,  -999.00,9,   183.56,2,    63.11,3,    32.85,3,     0.06,3,     2.46,3,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   2.3329,  26.7363
   49NZ199909_2,   P1H,     6,  1,      9,      9,2,19991001,1859, 42.4863, 145.8403, 3165,    399.8,2,   3.3511,2,  33.9653,1,  33.9688,2,  -999.00,9,    51.05,2,    98.08,2,    42.96,2,     0.05,2,     3.05,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   3.3251,  27.0321
   49NZ199909_2,   P1H,     6,  1,      8,      8,2,19991001,1859, 42.4863, 145.8403, 3165,    599.6,2,   3.3186,2,  34.2066,1,  34.2136,2,  -999.00,9,    33.56,2,   118.71,2,    43.63,2,     0.05,2,     3.09,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   3.2786,  27.2317
   49NZ199909_2,   P1H,     6,  1,      7,      7,2,19991001,1859, 42.4863, 145.8403, 3165,    799.3,2,   3.0316,2,  34.3277,1,  34.3321,2,  -999.00,9,    33.13,2,   131.86,2,    43.62,2,     0.05,2,     3.08,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   2.9786,  27.3539
   49NZ199909_2,   P1H,     6,  1,      6,      6,2,19991001,1859, 42.4863, 145.8403, 3165,    999.5,2,   2.7628,2,  34.4012,1,  34.4073,2,  -999.00,9,    35.12,2,   142.11,2,    43.79,2,     0.04,2,     3.12,2,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,   2.6970,  27.4390
