,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
45,09AR20011029, SR03,8.0,1.0,3.0,3.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    249.4,  12.2510,  35.1930,4.0,  35.1970,2.0,    255.6,2.0,    256.8,2.0,     2.20,2.0,     7.19,2.0,     7.19,     0.49,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  12.2210,2.0
46,09AR20011029, SR03,8.0,1.0,2.0,2.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    301.3,  11.3310,  35.0030,4.0,  35.0080,2.0,    249.8,2.0,    250.0,2.0,     3.00,2.0,    10.36,2.0,    10.36,     0.66,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  11.2960,2.0
47,09AR20011029, SR03,8.0,1.0,1.0,1.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,    351.2,  10.5890,  34.8620,2.0,  34.8630,2.0,    246.4,2.0,    246.1,2.0,     3.50,2.0,    12.43,2.0,    12.43,     0.80,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  10.5490,2.0
48,09AR20011029, SR03,9.0,1.0,24.0,24.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,      6.4,  13.3180,  35.3340,2.0, -999.0000,9.0,    265.2,3.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.3200,9.0
49,09AR20011029, SR03,9.0,1.0,23.0,23.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,     51.8,  13.2910,  35.3370,2.0,  35.3370,2.0,    261.8,2.0,    258.7,2.0,     1.70,2.0,     4.38,2.0,     4.38,     0.37,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2078.4,6.0,   2320.1,6.0,  13.2870,2.0
50,09AR20011029, SR03,9.0,1.0,22.0,22.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    101.2,  13.2790,  35.3360,2.0,  35.3360,2.0,    255.3,2.0,    257.5,2.0,     1.70,2.0,     4.62,2.0,     4.62,     0.37,2.0,    3.188,3.0,    1.845,3.0,    0.960,4.0,   2079.5,2.0,   2320.5,2.0,  13.2680,2.0
51,09AR20011029, SR03,9.0,1.0,21.0,21.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    151.0,  12.5320,  35.2190,4.0,  35.2220,2.0,    246.0,2.0,    247.8,2.0,     2.00,2.0,     7.21,2.0,     7.21,     0.51,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2095.7,2.0,   2311.5,2.0,  12.5150,2.0
52,09AR20011029, SR03,9.0,1.0,20.0,20.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    201.3,  11.9640,  35.1070,2.0,  35.1050,2.0,    245.6,2.0,    245.8,2.0,     2.40,2.0,     9.01,2.0,     9.01,     0.61,2.0,    3.232,3.0,    1.835,3.0,    0.840,4.0,   2100.8,2.0,   2309.5,4.0,  11.9410,2.0
53,09AR20011029, SR03,9.0,1.0,19.0,19.0,4.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    251.9,  11.6480,  35.0560,3.0,  34.8870,4.0,    259.7,2.0,    249.2,4.0,     3.20,4.0,    12.08,4.0,    12.08,     0.79,4.0,    3.445,3.0,    1.928,3.0,    0.800,4.0,   2110.1,2.0,   2300.9,2.0,  11.6180,4.0
54,09AR20011029, SR03,9.0,1.0,18.0,718.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    300.8,  11.2470,  34.9870,2.0,  34.9890,2.0,    243.1,2.0,    245.7,2.0,     2.90,2.0,    10.90,2.0,    10.90,     0.72,2.0,    3.315,3.0,    1.856,3.0,    0.870,4.0,   2107.3,2.0,   2304.8,2.0,  11.2120,2.0
55,09AR20011029, SR03,9.0,1.0,17.0,17.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    401.1,   9.7080,  34.7130,3.0,  34.7120,2.0,    259.4,2.0,    257.7,2.0,     3.40,2.0,    13.85,2.0,    13.85,     0.92,2.0,    3.662,3.0,    2.065,3.0,    0.690,4.0,   2112.8,2.0,   2294.1,2.0,   9.6640,2.0
56,09AR20011029, SR03,9.0,1.0,16.0,16.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    501.7,   9.1880,  34.6350,2.0,  34.6340,2.0,    262.7,2.0,    248.7,2.0,     4.50,2.0,    16.24,2.0,    16.24,     1.05,2.0,    3.711,3.0,    2.034,3.0,    0.910,4.0,   2122.9,2.0,   2293.2,2.0,   9.1340,2.0
57,09AR20011029, SR03,9.0,1.0,15.0,15.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    603.2,   8.8880,  34.6070,2.0,  34.6070,2.0,    242.9,2.0,    245.8,2.0,     5.40,2.0,    17.40,2.0,    17.40,     1.12,2.0,    3.608,3.0,    1.945,3.0,    0.870,4.0,   2127.2,2.0,   2290.0,2.0,   8.8240,2.0
58,09AR20011029, SR03,9.0,1.0,14.0,14.0,2.0,20011101.0,415.0,-45.7462,145.6682, 2788,  -999.00,    701.6,   8.4570,  34.5770,2.0,  34.5760,2.0,    229.3,2.0,    224.5,2.0,     8.30,2.0,    20.52,2.0,    20.52,     1.32,2.0,    2.917,3.0,    1.547,3.0,    0.660,4.0,   2141.3,2.0,   2289.3,2.0,   8.3840,2.0
